2014-01-01,1，很多大爷大妈凑热闹打酱油：） 2，因空气原因不得不坚持戴口罩跑，憋！3，以后上班也这个距离，算是积累了一些经验，春暖花开时不妨跑步上班：）,1
2014-01-01,@孙铭阳同学 @辛卡卡同學 @Princess_文文 新年快乐！今天是1月1日元旦，今天的空气指数为中度污染，可携带口罩哦！[嘻嘻],1
2014-01-02,今天上海晴转多云，气温8-15度，周六开始气温将会有少许下降，最高气温将跌落到10度左右。目前上海的空气质量为中度污染，建议您外出时佩戴口罩。,1
2014-01-02,"雾霾空气救救他们 是谁阻止交通协管员戴口罩执勤 据我调查 交通协管员说 上海外滩1位32岁交警6位交通协管员生肺病肺癌已故 每天城市繁忙路段空气中污染是危害交通协管员身体的因素,警报:中国交警的平均寿命仅43岁！能吹哨子口罩研发发明成功 有显著防PM异物造福于健康专利:201310067911.1 13020163877",0
2014-01-02,新年好[嘻嘻]！今天是2014年首个工作日，农历十二月初二，二九第三天。今天最高温度可达16度，东南风3-4级，晴[阳光]。当前PM2.5空气质量指数实时162，中度污染[失望]，应减少户外活动，外出时佩戴口罩，敏感人群应尽量避免外出。明后天以多云为主，双休日有冷空气微弱影响，最高10度。注意早晚寒意。,1
2014-01-02,鬼天气，一直污染。能不能还给孩子新鲜的空气？ 日本宝宝口罩，大量到货。今晚P上,1
2014-01-02,终于领教到了“毒”空气的威力，看来空气净化机口罩缺一不可。[生病],1
2014-01-02,以前问我pm2.5口罩的朋友 我当初说日本空气很好的 没专门防pm2.5的口罩，现在人家出来了。。。…（丢脸[糗大了]）5枚36含国际 儿童 成人两款～,1
2014-01-03,今天重庆空气质量指数高达200，属于严重污染，外出最好带口罩。不过有太阳看起来还不错。PS：照片是我妈拍的。,1
2014-01-03,"中午在金茂大厦举行的“抵制雾霾”公益活动受到大厦白领们的热烈响应，白领们通过手机扫描新浪微博二维码即可获赠一款热销的PM2.5口罩。""福来day""申城空气再“中毒”，金茂关爱白领健康，持续为大家提供健康宜居的办公环境，携手新浪网送出2014第一“福”!@中化集团@方兴地产@金茂大厦写字楼",1
2014-01-03,上海空气太差，连喵星人都要带口罩,1
2014-01-03,一入冬，每天空气都是严重污染，到现在已经连续几个礼拜了。路上到处是戴着口罩的人，行色匆匆。我这样每天通勤开车为主的人都觉得喉咙不舒服，就别说挤公车上下班的了。至于交警、建筑、环卫之类整天工作都暴露在户外的人群，实在是不敢想。貌似也没见环保部门出来说点什么做点什么？,1
2014-01-03,2Y10M? 话说宥宥从小身体一直不错?，很少生病，但一病就咳嗽?，这和她过敏体质脱不了干系！今天和睦家医生看下来也说空气不好的话只能避免?外出，出门必须??戴口罩，哎，可怜的小丫头?，真想带你移民了！??,1
2014-01-04,这破空气。。。喉咙痛胸闷脸还过敏[生病]一怒之下买了一打ffp2/ffp3口罩。。。,1
2014-01-04,北方来的冷空气太吓人了空气又重度污染了……口罩又要拿出来用了……,1
2014-01-04,看了看空气。。。还是把生日时热大给我的口罩拆了。。,1
2014-01-04,三次元口罩 空气差 每天包里准备，女士的是粉红色男士是白色，我要自留两包，要的留言，下次多买点寄回来,1
2014-01-04,正在电脑上浪费时间，突然收到短信：快开窗！立刻执行，然后查空气质量指数：97！！！我那和我一样关注空气质量并指导我买口罩和空气净化器的同事总是能第一时间关注到空气变好并提醒我开窗。中国好同事！最美同事！[赞],0
2014-01-04,空气真差！口罩必备！,1
2014-01-05,空气中弥漫着一股焦味，无奈只能带口罩[感冒][泪],1
2014-01-05,今天阳光很好，虽然天气还是有些冷，但是在室外活动的人很多，而且大部分没有戴口罩，似乎在享受新鲜的空气。,-1
2014-01-05,今天上海空气很好！好久没见这么蓝天[太阳]今天我不要戴口罩[感冒]很舒服( ? ▽ ` )?,1
2014-01-05,鼻测法判断今天空气还行，希望明天可以不用带口罩了[月亮],1
2014-01-06,今天空气难得的还啊，又看到带口罩鼻子露外面的…,1
2014-01-06,出发 上班 NND 最有用的口罩到了 今天空气指数达标,1
2014-01-06,天气变冷了，空气中还是弥漫着一股烟尘味道，口罩君继续，走起！[奥特曼],1
2014-01-06,今天空气质量居然是优，有种不敢相信的感觉。。。同车旁边人的香水味实在是太呛人了，害我打了好几个喷嚏，有戴口罩的冲动！,1
2014-01-06,现在发现戴口罩也蛮好的，可以阻隔脏空气，臭味道，还不会吸到冷风引起胃痛。只是如果擦了粉底就不太好了，摘下口罩脸一半黑一半白~,1
2014-01-06,2014年最畅销产品——空气净化器，最长销产品——PM2.5口罩，没有之一。,1
