2014-01-02,早上起来，我以为自己身在北京了！空气污染很严重！,1
2014-01-02,妈蛋细思恐极！今天在官店门口等人的时候上来两个日本人搭话，问这个问那个，还有个澳门的朋友爷爷要死了回国不知道能不能回来了，约我明天去池袋细谈！妈蛋聊天是蛮愉快但是为啥问了一堆中国的情况啊！人家说空气污染都要跑到日本来了我还半开玩笑的すみません啊！最后我还傻乎乎的问人家要了号码啊！,1
2014-01-03,经济低靡+空气污染=医院爆满......但是把人家赶去精神科也太过分了吧！！,1
2014-01-04,空气污染真严重！,1
2014-01-05,看，一说厦门空气污染严重就上报纸了！,1
2014-01-05,厦门进入中度空气污染。,1
2014-01-05,最近连厦门都空气污染了[衰] 今天看到家里的柚子 干脆做了蜂蜜柚子茶来润润肺  一个柚子和一斤蜂蜜做了这三罐 耗时耗体啊 不过娃很爱 做完就喝了一杯 这就足够啦 我今天做的不苦哦@曾小蛋的娘 @面饼猫  成功~,1
2014-01-05,这几天空气污染好严重，下点雨吧?,1
2014-01-06,闽多县市持续空气质量差 福州昨现重度污染天。泉州，厦门，三明，龙岩等省内大部分县市的空气污染指数都很高，PM10的综合指数都在90-120之间，显示轻度污染。,1
2014-01-07,热点二：全国乃至厦门雾霾天气持续，空气污染严重，原因有多方面，其中最主要为工业企业及汽车尾气污染居多，同时某些地方“唯GDP”论，过分强调经济的增长速度而致。1. 这些现象根本原因是什么（或说明了什么）？2.从政府、企业、公民三个方面提出解决办法。,0
2014-01-17,从外面回家，身上飘着一股浓烟味～～～～[晕]这空气污染忒厉害了。[浮云],1
2014-01-31,今年为了减少空气污染家里没有买任何烟花炮竹，今天醒来发现姐姐的手机传出一阵阵鞭炮声，我好奇的问了声，姐姐说放开门炮吖…突然发现这也是种很好的方式嘛,1
2014-02-01,据有关报道。福州等地因为老百姓放烟火爆竹引起重度雾霾，达到极度污染。中华人民共和国建国60多周年了。第一次因为放爆竹引起重度空气污染。如果明年没有烟花爆竹引起的污染，应该是因为老百姓过年刷火锅抽烟引起了重度空气污染了。我们的新闻报道太有想象力了。,1
2014-02-01,空气污染还真严重喔,1
2014-02-02,之所以禁了鞭炮可能会有以下理由：1、空气污染雾霾什么的，产生大量鞭炮垃圾给环卫增加工作量和清扫难度；2、噪声污染扰民造成情绪不稳；这可能是大多需要安静的人以及常被烟花鞭炮吓到的人的重要心声，是的，烟花爆竹噪音很大，那响声会把人吓一跳造成情绪不稳心情浮躁并且急躁易怒，禁烟花爆竹有理！,0
