0 戴着口罩真暖和
14 ,这个帽子我实在是服了......真是滑雪场一大亮点，冻的不行一模兜居然还有周一用过的口罩...先戴上暖和下[囧][囧][囧]~高级道又怎样，朋友们，咱都上来了@午後雨後邂逅2012 /@seamoon7 [威武][威武][威武],
6 春天的北京，透着一个敞亮，处处灰尘飘～[哼]坐在车里刷微博，没多大功夫手机屏幕上就积了一层的尘土，心里纠结了，要不要带上疆疆的爱心小口罩呢[思考]
0 坐屋里也应该戴个口罩。
9 ,终于买到这种口罩了！真心不容易。每次去买都说被抢空了！[哼][泪]@期待恋夏-宁 出门注意点、你家那边流感很严重。,
14 人们扯下万千面具和口罩，放肆地笑。
0 口罩！
3 公司今天发的口罩，据说很高级滴
5 ,@zoe7jjXX 姨母到了。我昨天才吐槽完今天就到了。一拆开就到处找编号。嘤嘤辣个编码写的太萌辣。里面的图片真的杀太大辣。整整16张张张要老命。还有徽章口罩红黑卡片太超值辣。没买的后悔去吧。（包装的太简陋了不高兴。,
17 曾经，当别国运动员戴着口罩来北京参赛时，我们指责是故意让我们难堪；曾经，当别国机构公布这座城市空气的PM2.5指数时，我们斥责是有意给我们添乱。今天，在厚德载雾、十面霾伏之下，我们的交警终于也戴上了口罩。我们终于发现，正视我们最好的镜子，往往是别人；而正视缺点最大的障碍，往往是自己。
26 , @小南老改名 偶要不要感谢尧哥哇？但素偶怕萌萌[偷笑]呼呼，还是这种口罩舒服！,
6 家里置着空气净化器（现在看似一台是不够了），纯水制水机，口罩，还缺一台车载空气净化器，这就是北京生活吗？
3 今天戴口罩发觉鼻屎明显少了[挖鼻屎]
14 地铁人满为患，可那些女孩宁愿站着也不愿意坐我身边的空位。直到我到站了也没人来坐。＂难道因为我的帅让她们小鹿乱撞了而不敢靠近我？下次是不是应该戴个口罩出门？＂我一边把袜子穿好准备下车一边反思。
5 ,在家擦厨房 擦的还不错吧[可爱] 威猛先生味儿太大啦 幸亏有老爸买的口罩啊[爱你],
7 ,北京今日PM2.5指数：172。综合空气质量：中度污染。温馨提示：对敏感人群影响较大，外出应采取必要的防护，要佩戴口罩，并及时将附着在身体上的霾及时清理掉。 ,
27 给爱犬配条链子和口罩，即有效避免狗咬人引发纠纷或是惨剧，而且也可以有效避免疾病传播，呼吁爱犬人士给自己的爱犬配条链子或口罩，提高个人素质，爱犬的同时也请爱别人，珍爱生命，也珍爱别人的生命。
